V91,X2.1...What.is.your.country.of.citizenship.,X2.4...How.old.are.you.,X2.6...What.is.your.current.marital.status.,X2.7...What.is.your.level.of.education....Selected.Choice,X2.8..Please.name.your.college.university,X2.9...When.did.you.begin.your.program....Year,X2.10...What.is.your.major.,X2.11...Do.you.work.a.part.time.job.during.your.study.in.Turkey.,X3.1...What.type.of.school.did.you.attend....Selected.Choice,X5.3...Was.Turkey.your.first.choice.to.study.abroad.,X5.6...Did.your.current.university..in.Turkey..grant.you.a.scholarship.,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.saw.it.as.an.opportunity.to.explore.other.cultures,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.wanted.to.internationalize.myself,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.found.Turkey.economically.affordable,X5.8...What.were.your.main.reasons.to.study.in.Turkey....My.family.was.keen.of.Turkey.s.Islamic.culture,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Difficulty.with.the.language,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Wary.to.live.in.another.country,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.leave.family,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.get.visa,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Not.enough.financial.means.to.study.abroad,X5.10...Would.you.like.to.live.abroad.after.your.studies.,X5.12...Do.you.intend.to.return.to.your.country.after.graduation.,X6.1...Did.you.need.financial.aid.to.study.abroad.,X6.3...Do.you.consider.your.study.abroad.as.an.adventure.in.a.new.country.,X8.1...How.many.times.did.you.return.to.your.country.during.your.last.academic.year.,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mostly.socialize.with.Turkish.people,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mainly.socialize.with.people.from.home.country,X8.4...Regarding.your.social.life..which.statement.is.correct....I.generally.socialize.with.other.foreign.students..Not.including.Turkish.or.home.country.,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Turkish.language,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Financial.barriers,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Getting.internships.jobs,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Quality.of.teaching,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Being.far.from.parents,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Health.services,X8.6...Are.you.satisfied.with.your.overall.experience.in.Turkey.
3.333333333,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Statistics,Yes,A grammar school,No,No,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Moderately important,Not important,Not important,Maybe,I intend to return ,No,Yes,Once,Sometimes,Always,Most of the time,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.5,Afghanistan,19,Never been married,Undergraduate,Middle East Technical University,2022,Statistics,No,A fee paying school,No,Yes,Not important,Not important,Very important,Very important,Not important,Not important,Very important,Moderately important,Very important,Maybe,Undecided,Yes,Yes,Never,Never,Most of the time,About half the time,"Always problematic	","Sometimes problematic	",,"Sometimes problematic	","Always problematic	",,Somewhat satisfied
3.166666667,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2020,Computer Engineering,No,A fee paying school,No,No,Moderately important,Moderately important,Very important,Very important,Very important,Not important,Very important,Not important,Not important,Yes,Undecided,No,Yes,Twice,Never,Always,Sometimes,"Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	",Somewhat satisfied
2.166666667,Pakistan,25,Never been married,Undergraduate,Middle East Technical University,2021,Political Science And Government,No,An international school,No,No,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,Yes,I would return after a period of work,No,Yes,Twice,Never,Always,Always,"Always problematic	","Always problematic	","Always problematic	","Always problematic	","Always problematic	","Always problematic	",Somewhat dissatisfied
3.166666667,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Environmental Engineering,Yes,An international school,No,Yes,Moderately important,Moderately important,Very important,Moderately important,Very important,Very important,Very important,Not important,Moderately important,Yes,Undecided,Yes,Yes,Twice,Never,Always,Sometimes,"Always problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	",Somewhat satisfied
3.333333333,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2020,Business Management And Administration,Yes,A fee paying school,No,No,Very important,Very important,Very important,Not important,Moderately important,Not important,Not important,Not important,Very important,Yes,I do not intend to return,No,Yes,Once,Sometimes,About half the time,Always,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	","Sometimes problematic	",Extremely satisfied
2.833333333,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2021,Aerospace Engineering,No,A fee paying school,No,Yes,Not important,Moderately important,Very important,Not important,Very important,Very important,Not important,Moderately important,Very important,Yes,I would return after a period of work,No,Yes,Twice,Sometimes,Always,Most of the time,"Sometimes problematic	","Always problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.666666667,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Psychology,No,An international school,Yes,Yes,Very important,Very important,Moderately important,Not important,Moderately important,Not important,Not important,Moderately important,Not important,Yes,Undecided,No,Yes,Once,About half the time,Sometimes,Most of the time,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
3.333333333,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2022,Mechanical Engineering,No,A fee paying school,No,No,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Not important,Not important,Not important,Moderately important,Maybe,Undecided,Yes,Yes,Never,Sometimes,Most of the time,About half the time,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.666666667,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Psychology,No,A fee paying school,No,Yes,Very important,Very important,Very important,Not important,Very important,Moderately important,Not important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Once,Sometimes,Most of the time,Never,"Sometimes problematic	","Not problematic	","Always problematic	","Always problematic	","Not problematic	","Sometimes problematic	",Somewhat dissatisfied
2.166666667,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2021,Computer Engineering,No,A fee paying school,Yes,No,Moderately important,Moderately important,Not important,Not important,Very important,Not important,Not important,Very important,Not important,Maybe,Undecided,No,Yes,Once,About half the time,Most of the time,Most of the time,"Always problematic	","Not problematic	",,"Sometimes problematic	",,,Somewhat satisfied
2.166666667,United Republic of Tanzania,18,Never been married,Undergraduate,Middle East Technical University,2022,Chemical Engineering,No,An international school,No,No,Not important,Moderately important,Very important,Moderately important,,,,,,Yes,Undecided,No,Yes,Never,About half the time,Never,Always,"Not problematic	","Not problematic	",,"Not problematic	","Sometimes problematic	",,Somewhat satisfied
2.5,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2022,Mechanical Engineering,No,A fee paying school,No,Yes,Very important,Very important,Very important,Very important,Very important,Not important,Very important,Not important,Very important,No,I intend to return ,Yes,Yes,Never,Sometimes,Always,Most of the time,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Always problematic	","Not problematic	",Somewhat satisfied
3.833333333,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,NA,Mechanical Engineering,No,A fee paying school,Yes,No,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Not important,Moderately important,Yes,Undecided,No,Yes,Once,Sometimes,Most of the time,About half the time,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3,Afghanistan,21,Never been married,Undergraduate,Middle East Technical University,2021,Civil Engineering,No,A public school,Yes,Yes,Very important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Maybe,I intend to return ,Yes,Yes,Never,Most of the time,Most of the time,Sometimes,"Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	",Somewhat satisfied
3.166666667,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2021,Computer Engineering,No,A fee paying school,No,Yes,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Yes,Undecided,No,Yes,Once,Sometimes,Most of the time,Sometimes,"Always problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
3,Pakistan,20,Never been married,Undergraduate,Bilkent University,2021,Economics,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Moderately important,Very important,Very important,Very important,Not important,Not important,Yes,I would return after a period of work,Yes,Yes,Once,About half the time,Most of the time,About half the time,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	",Somewhat satisfied
2.666666667,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,NA,Architecture,No,A fee paying school,No,No,Not important,Very important,Very important,Very important,Very important,Moderately important,Not important,Not important,Not important,No,Undecided,No,Yes,Never,Sometimes,Always,Sometimes,"Always problematic	","Sometimes problematic	",,"Sometimes problematic	","Not problematic	",,Somewhat satisfied
2.666666667,India,19,Never been married,Undergraduate,Middle East Technical University,2022,Computer And Information Systems,No,A fee paying school,No,Yes,Very important,Very important,Very important,Not important,Very important,Not important,Not important,Very important,Not important,Maybe,Undecided,No,Yes,Never,Sometimes,Never,Most of the time,"Always problematic	","Not problematic	",,"Not problematic	","Not problematic	","Not problematic	",Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pakistan,21,Never been married,Undergraduate,Bilkent University,2020,Economics,No,A fee paying school,No,Yes,Very important,Very important,Very important,Not important,Very important,Not important,Not important,Not important,Moderately important,Maybe,I would return after a period of work,Yes,Yes,Once,Most of the time,Sometimes,About half the time,"Always problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Not problematic	","Not problematic	",Somewhat satisfied
3,Pakistan,22,Never been married,Undergraduate,Middle East Technical University,2019,Aerospace Engineering,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Moderately important,Moderately important,Not important,Not important,Not important,Not important,Yes,Undecided,No,Yes,Once,Sometimes,Most of the time,Most of the time,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Neither satisfied nor dissatisfied
3.333333333,Pakistan,20,Never been married,Undergraduate,Bilkent University,2021,Business Management And Administration,No,An international school,Yes,No,Moderately important,Very important,Moderately important,Very important,Moderately important,Not important,Not important,Not important,Moderately important,Maybe,Undecided,No,Yes,Once,Sometimes,Most of the time,Never,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
3.333333333,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2022,Economics,No,A fee paying school,No,No,Very important,Very important,Very important,Not important,,,,Very important,Very important,Yes,Undecided,Yes,Yes,Never,Never,Always,Sometimes,"Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.833333333,Pakistan,18,Never been married,Undergraduate,Middle East Technical University,2022,Economics,No,A fee paying school,No,No,Moderately important,Very important,Very important,Not important,Moderately important,Not important,Moderately important,Very important,Not important,Maybe,I intend to return ,Yes,Yes,Never,Sometimes,Most of the time,Most of the time,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
2.666666667,Pakistan,21,Never been married,Undergraduate,Hacettepe University,2019,Business Management And Administration,No,An international school,No,No,Not important,Moderately important,Moderately important,Not important,Very important,Moderately important,Not important,Not important,Moderately important,Maybe,I would return after a period of work,No,Yes,Once,About half the time,Most of the time,About half the time,"Sometimes problematic	","Sometimes problematic	",,"Not problematic	","Not problematic	","Not problematic	",Somewhat satisfied
1.833333333,Canada,18,Never been married,Undergraduate,Bilkent University,2022,Chemistry,No,A public school,Yes,Yes,Very important,Very important,Moderately important,Very important,Very important,Not important,Not important,Very important,Very important,Yes,I would return after a period of work,Yes,Yes,Never,Sometimes,Never,Sometimes,"Sometimes problematic	","Not problematic	","Always problematic	","Always problematic	",,,Somewhat satisfied
3,Pakistan,19,Never been married,Undergraduate,Bilkent University,2022,Mechanical Engineering,No,A fee paying school,No,Yes,Moderately important,Moderately important,Very important,Moderately important,Very important,Very important,Very important,Moderately important,Very important,Maybe,I would return after a period of work,Yes,Yes,Never,Sometimes,Always,About half the time,"Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Always problematic	","Not problematic	",Somewhat satisfied
2.666666667,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2022,Architecture,No,A fee paying school,Yes,No,Moderately important,Very important,Moderately important,Not important,Very important,Not important,Not important,Not important,Not important,Yes,Undecided,No,Yes,Never,About half the time,Sometimes,Never,"Always problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Not problematic	",,Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pakistan,21,Never been married,Undergraduate,,2021,Business Economics,Yes,An international school,No,Yes,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Not important,Not important,Moderately important,Not important,Yes,I do not intend to return,Yes,Yes,Never,About half the time,Sometimes,About half the time,"Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	",,Extremely satisfied
3,Iran,23,Living with a partner,Undergraduate,Hacettepe University,2021,Health And Medical Administrative Services,No,A public school,No,No,Moderately important,Very important,Very important,Not important,Moderately important,Moderately important,Moderately important,Not important,Moderately important,Yes,Undecided,Yes,Yes,Twice,Sometimes,About half the time,Sometimes,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	",Somewhat satisfied
2.833333333,Pakistan,29,Married,Graduate,Bilkent University,2021,Electrical Engineering,No,A public school,No,Yes,Very important,Very important,Very important,Very important,Not important,Not important,Moderately important,Not important,Not important,Yes,I would return after a period of work,Yes,Yes,Never,Sometimes,Sometimes,Sometimes,"Always problematic	","Always problematic	","Always problematic	","Not problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.166666667,Azerbaijan,20,Never been married,Undergraduate,Hacettepe University,2022,Electrical Engineering,No,A public school,No,No,Very important,Moderately important,Very important,Not important,Not important,Not important,Not important,Not important,Moderately important,Yes,I do not intend to return,No,Yes,Never,About half the time,Never,Sometimes,"Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
2.666666667,Pakistan,21,Never been married,Undergraduate,TED University,2021,Early Childhood Education,No,A fee paying school,No,Yes,Not important,Not important,Very important,Very important,Very important,Moderately important,Moderately important,Not important,Not important,No,I intend to return ,Yes,Yes,Twice,Sometimes,Always,Sometimes,"Always problematic	",,"Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.833333333,Pakistan,18,Never been married,Undergraduate,Middle East Technical University,2022,Civil Engineering,Yes,A grammar school,Yes,No,Moderately important,Moderately important,Very important,Moderately important,Very important,Moderately important,Very important,Moderately important,Not important,Maybe,Undecided,No,Yes,Never,Sometimes,Most of the time,Sometimes,"Always problematic	","Sometimes problematic	","Always problematic	","Always problematic	","Always problematic	","Sometimes problematic	",Somewhat satisfied
NA,Pakistan,19,Never been married,Undergraduate,Bilkent University,2020,Business Management And Administration,No,An international school,Yes,No,Not important,Not important,Very important,Very important,Not important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,No,No,More than two times,Most of the time,Sometimes,About half the time,,"Not problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
2.5,Azerbaijan,17,Never been married,Undergraduate,Hacettepe University,2022,Medical Assisting Services,No,An international school,Yes,No,Very important,Very important,Moderately important,Not important,Not important,Very important,Not important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Never,About half the time,Most of the time,Always,"Sometimes problematic	","Sometimes problematic	",,"Sometimes problematic	","Not problematic	",,Extremely satisfied
3.833333333,Pakistan,18,Never been married,Undergraduate,Middle East Technical University,2022,Architecture,No,A fee paying school,No,No,Very important,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Not important,Moderately important,Yes,I would return after a period of work,No,Yes,Never,About half the time,About half the time,Sometimes,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.833333333,Uzbekistan,19,Never been married,Undergraduate,Hacettepe University,2021,International Relations,No,An international school,Yes,Yes,Moderately important,Moderately important,Moderately important,Moderately important,Not important,Not important,Not important,Not important,Not important,Yes,I intend to return ,No,Yes,Twice,Sometimes,Sometimes,Always,"Not problematic	","Not problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
2.833333333,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2021,Chemistry,No,A fee paying school,No,No,Very important,Very important,Very important,Not important,Not important,Moderately important,Moderately important,Moderately important,Very important,Maybe,Undecided,Yes,Yes,Never,About half the time,About half the time,About half the time,"Sometimes problematic	","Sometimes problematic	",,"Not problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
3.666666667,Syrian Arab Republic,21,Never been married,Undergraduate,Middle East Technical University,2021,Statistics,No,An international school,No,No,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not important,Not important,Moderately important,Maybe,I would return after a period of work,No,Yes,Never,Sometimes,About half the time,About half the time,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.666666667,Morocco,22,Never been married,Undergraduate,TED University,2020,Business Management And Administration,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Very important,Very important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,No,Yes,Once,Never,Sometimes,Always,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Not problematic	",,Neither satisfied nor dissatisfied
3.166666667,United States of America,20,Never been married,Undergraduate,TED University,2021,Psychology,No,An international school,Yes,Yes,Moderately important,Moderately important,Very important,Very important,Very important,Moderately important,Not important,Not important,Moderately important,Yes,Undecided,Yes,Yes,Never,About half the time,Most of the time,Sometimes,"Not problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	",Somewhat satisfied
2.666666667,United Kingdom of Great Britain and Northern Ireland,19,Never been married,Undergraduate,TED University,2022,Business Management And Administration,No,An international school,No,No,Not important,Not important,Very important,Moderately important,Moderately important,Moderately important,Very important,Not important,Moderately important,Yes,I intend to return ,No,Yes,Once,Never,Sometimes,Always,"Always problematic	","Sometimes problematic	","Always problematic	","Always problematic	","Always problematic	","Not problematic	",Neither satisfied nor dissatisfied
3.166666667,Pakistan,20,Never been married,Undergraduate,TED University,2021,Electrical Engineering,Yes,An international school,No,Yes,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Not important,Moderately important,Yes,Undecided,Yes,Yes,Twice,About half the time,Most of the time,Most of the time,"Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
NA,Pakistan,22,Never been married,Undergraduate,Middle East Technical University,2019,Electrical Engineering,Yes,An international school,No,No,Moderately important,Moderately important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Once,Sometimes,Sometimes,Always,,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Always problematic	",Somewhat satisfied
3.333333333,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2021,Environmental Engineering,No,An international school,No,No,Very important,Moderately important,Very important,Not important,Not important,Very important,Moderately important,Moderately important,Not important,Yes,Undecided,Yes,Yes,Once,Sometimes,Most of the time,Sometimes,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Extremely satisfied
2.833333333,Pakistan,21,Never been married,Undergraduate,TED University,2021,Psychology,Yes,A fee paying school,Yes,No,Very important,Very important,Moderately important,Moderately important,Not important,Moderately important,Not important,Not important,Very important,Yes,I do not intend to return,No,Yes,Never,About half the time,Sometimes,About half the time,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Always problematic	",Extremely satisfied
2.5,Iran,21,Living with a partner,Undergraduate,Bilkent University,2022,Psychology,Yes,A public school,No,Yes,Not important,Moderately important,Very important,Not important,Moderately important,Not important,Not important,Not important,Moderately important,Yes,I do not intend to return,Yes,Yes,Never,Sometimes,Always,Sometimes,"Not problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Not problematic	","Always problematic	",Somewhat satisfied
